id;catcode;catname;scatcode;scatname;charac;code
199;5;Others health intervention;2;Phytotherapy ;Abietaceae;NPI5.2.1
227;5;Others health intervention;2;Phytotherapy ;Acanthaceae;NPI5.2.1
235;5;Others health intervention;2;Phytotherapy ;Aceraceae;NPI5.2.1
406;5;Others health intervention;2;Phytotherapy ;Adoxaceae;NPI5.2.1
434;5;Others health intervention;2;Phytotherapy ;Agaricaceae;NPI5.2.1
495;5;Others health intervention;2;Phytotherapy ;Alariaceae;NPI5.2.1
499;5;Others health intervention;2;Phytotherapy ;Alkaloids;NPI5.2.1
640;5;Others health intervention;2;Phytotherapy ;Amaranthaceae;NPI5.2.1
641;5;Others health intervention;2;Phytotherapy ;Amaryllidaceae;NPI5.2.1
720;5;Others health intervention;2;Phytotherapy ;Anacardiaceae;NPI5.2.1
762;5;Others health intervention;2;Phytotherapy ;Annonaceae;NPI5.2.1
769;5;Others health intervention;2;Phytotherapy ;Anthelmintic;NPI5.2.1
770;5;Others health intervention;2;Phytotherapy ;anthocyanosides;NPI5.2.1
771;5;Others health intervention;2;Phytotherapy ;Anthracnosides;NPI5.2.1
790;5;Others health intervention;2;Phytotherapy ;Antidiarrheal;NPI5.2.1
808;5;Others health intervention;2;Phytotherapy ;antispasmodic;NPI5.2.1
1425;5;Others health intervention;2;Phytotherapy ;Antitussive;NPI5.2.1
814;5;Others health intervention;2;Phytotherapy ;Anxiolytic;NPI5.2.1
830;5;Others health intervention;2;Phytotherapy ;Apiaceae;NPI5.2.1
842;5;Others health intervention;2;Phytotherapy ;Apocynaceae;NPI5.2.1
876;5;Others health intervention;2;Phytotherapy ;Aquifoliaceae;NPI5.2.1
899;5;Others health intervention;2;Phytotherapy ;Araceae;NPI5.2.1
901;5;Others health intervention;2;Phytotherapy ;Araliaceae;NPI5.2.1
903;5;Others health intervention;2;Phytotherapy ;arbutoside;NPI5.2.1
907;5;Others health intervention;2;Phytotherapy ;Areacaceae;NPI5.2.1
908;5;Others health intervention;2;Phytotherapy ;Arecaceae;NPI5.2.1
934;5;Others health intervention;2;Phytotherapy ;Aristolochiaceae;NPI5.2.1
1165;5;Others health intervention;2;Phytotherapy ;Asclepiadaceae;NPI5.2.1
1182;5;Others health intervention;2;Phytotherapy ;Aspleniaceae;NPI5.2.1
1187;5;Others health intervention;2;Phytotherapy ;Asteraceae;NPI5.2.1
1195;5;Others health intervention;2;Phytotherapy ;Astringent;NPI5.2.1
1299;5;Others health intervention;2;Phytotherapy ;balanophoraceae;NPI5.2.1
1947;5;Others health intervention;2;Phytotherapy ;bellflower;NPI5.2.1
1435;5;Others health intervention;2;Phytotherapy ;Berberidaceae;NPI5.2.1
1468;5;Others health intervention;2;Phytotherapy ;Betulaceae;NPI5.2.1
1526;5;Others health intervention;2;Phytotherapy ;Bignonaceae;NPI5.2.1
1527;5;Others health intervention;2;Phytotherapy ;Bignoniaceae;NPI5.2.1
1727;5;Others health intervention;2;Phytotherapy ;Boraginaceae;NPI5.2.1
1786;5;Others health intervention;2;Phytotherapy ;Brassicaceae;NPI5.2.1
1808;5;Others health intervention;2;Phytotherapy ;Bromeliaceae;NPI5.2.1
1860;5;Others health intervention;2;Phytotherapy ;Burseraceae;NPI5.2.1
1863;5;Others health intervention;2;Phytotherapy ;Buxaceae;NPI5.2.1
1879;5;Others health intervention;2;Phytotherapy ;Cactaceae;NPI5.2.1
1956;5;Others health intervention;2;Phytotherapy ;canellaceae;NPI5.2.1
1957;5;Others health intervention;2;Phytotherapy ;Cannabaceae;NPI5.2.1
1998;5;Others health intervention;2;Phytotherapy ;Capparaceae;NPI5.2.1
1999;5;Others health intervention;2;Phytotherapy ;Caprifoliaceae;NPI5.2.1
2066;5;Others health intervention;2;Phytotherapy ;cardiotonic;NPI5.2.1
2072;5;Others health intervention;2;Phytotherapy ;Caricaceae;NPI5.2.1
2074;5;Others health intervention;2;Phytotherapy ;Carminative;NPI5.2.1
2130;5;Others health intervention;2;Phytotherapy ;Caryophyllaceae;NPI5.2.1
2156;5;Others health intervention;2;Phytotherapy ;Celastraceae;NPI5.2.1
2198;5;Others health intervention;2;Phytotherapy ;Cercideae;NPI5.2.1
2295;5;Others health intervention;2;Phytotherapy ;chitosan;NPI5.2.1
2306;5;Others health intervention;2;Phytotherapy ;Chlorella spirulina;NPI5.2.1
2325;5;Others health intervention;2;Phytotherapy ;Cholactif;NPI5.2.1
2333;5;Others health intervention;2;Phytotherapy ;Choleregul strong gel fl / 90;NPI5.2.1
2493;5;Others health intervention;2;Phytotherapy ;Cistaceae;NPI5.2.1
2530;5;Others health intervention;2;Phytotherapy ;Clavicipitaceae;NPI5.2.1
2542;5;Others health intervention;2;Phytotherapy ;Clusiaceae;NPI5.2.1
2548;5;Others health intervention;2;Phytotherapy ;Cochlospermaceae;NPI5.2.1
2631;5;Others health intervention;2;Phytotherapy ;Combretaceae;NPI5.2.1
2885;5;Others health intervention;2;Phytotherapy ;Convolvulaceae;NPI5.2.1
2899;5;Others health intervention;2;Phytotherapy ;Corallinaceae;NPI5.2.1
2907;5;Others health intervention;2;Phytotherapy ;Cordycipitaceae;NPI5.2.1
2910;5;Others health intervention;2;Phytotherapy ;Coriariaceae;NPI5.2.1
2912;5;Others health intervention;2;Phytotherapy ;Cornaceae;NPI5.2.1
2949;5;Others health intervention;2;Phytotherapy ;Crassulaceae;NPI5.2.1
3011;5;Others health intervention;2;Phytotherapy ;Cucurbitaceae;NPI5.2.1
3017;5;Others health intervention;2;Phytotherapy ;Cupressaceae;NPI5.2.1
3094;5;Others health intervention;2;Phytotherapy ;Cyanophyceae;NPI5.2.1
3139;5;Others health intervention;2;Phytotherapy ;Cystoseiraceae;NPI5.2.1
3231;5;Others health intervention;2;Phytotherapy ;Depurative (= drainer);NPI5.2.1
3360;5;Others health intervention;2;Phytotherapy ;dictyotaceae;NPI5.2.1
3401;5;Others health intervention;2;Phytotherapy ;Dioscoreaceae;NPI5.2.1
3402;5;Others health intervention;2;Phytotherapy ;Dipsacaceae;NPI5.2.1
3403;5;Others health intervention;2;Phytotherapy ;Dipterocarpaceae;NPI5.2.1
3408;5;Others health intervention;2;Phytotherapy ;Diuretic;NPI5.2.1
3514;5;Others health intervention;2;Phytotherapy ;Droseraceae;NPI5.2.1
