id;dclass ;dname;define;clabel
1;http://purl.bioontology.org/ontology/MESH/D003630;ACTH Syndrome, Ectopic;A very toxic anthracycline aminoglycoside antineoplastic isolated from Streptomyces peucetius and others, used in treatment of LEUKEMIA and other NEOPLASMS.;Daunorubicin Hydrochloride,Daunomycin,5,12-Naphthacenedione, 8-acetyl-10-((3-amino-2,3,6-trideoxy-alpha-L-lyxo-hexopyranosyl)oxy)-7,8,9,10-tetrahydro-6,8,11-trihydroxy-1-methoxy-, (8S-cis)-,Dauno-Rubidomycine,Cerubidine,NSC82151,NSC 82151,Rubomycin,Daunoblastin,Daunoblastine,Rubidomycin,NSC-82151,Hydrochloride, Daunorubicin,Dauno Rubidomycine
2;http://purl.bioontology.org/ontology/MESH/D017247;Adamantinoma;A technique for the treatment of neoplasms in which an isotope is introduced into target cells followed by irradiation with thermal neutrons.;Neutron Capturing Therapy,Therapy, Neutron Capture,Therapy, Neutron Capturing
3;http://purl.bioontology.org/ontology/MESH/D010302;Adenofibroma;Conditions which feature clinical manifestations resembling primary Parkinson disease that are caused by a known or suspected condition. Examples include parkinsonism caused by vascular injury, drugs, trauma, toxin exposure, neoplasms, infections and degenerative or hereditary conditions. Clinical features may include bradykinesia, rigidity, parkinsonian gait, and masked facies. In general, tremor is less prominent in secondary parkinsonism than in the primary form. (From Joynt, Clinical Neurology, 1998, Ch38, pp39-42);Parkinsonism, Atherosclerotic,Parkinsonism, Secondary,Parkinsonism, Symptomatic,Symptomatic Parkinsonism,Secondary Vascular Parkinson Disease,Secondary Parkinson Disease,Atherosclerotic Parkinsonism,Secondary Parkinsonism,Parkinson Disease, Secondary Vascular,Parkinson Disease, Symptomatic,Symptomatic Parkinson Disease
4;http://purl.bioontology.org/ontology/MESH/D043485;Adenoma, Oxyphilic;A highly vascular ovoid body of chemoreceptive tissue lying adjacent to the TYMPANIC CAVITY. It is derived from NEURAL CREST tissue and is considered part of the diffuse neuroendocrine system. It is the site of a rare neoplasm called a GLOMUS TYMPANICUM TUMOR.;Tympanicum, Glomus
5;http://purl.bioontology.org/ontology/MESH/D001500;Adenoma, Sweat Gland;An active immunizing agent and a viable avirulent attenuated strain of Mycobacterium tuberculosis, var. bovis, which confers immunity to mycobacterial infections. It is used also in immunotherapy of neoplasms due to its stimulation of antibodies and non-specific immunity.;Vaccine, BCG,Calmette Guerin Bacillus Vaccine,Calmette's Vaccine,Calmettes Vaccine,Calmette Vaccine,Vaccine, Calmette's,Bacillus Calmette Guerin Vaccine
6;http://purl.bioontology.org/ontology/MESH/D012983;Adenomatous Polyps;Neoplasms of whatever cell type or origin, occurring in the extraskeletal connective tissue framework of the body including the organs of locomotion and their various component structures, such as nerves, blood vessels, lymphatics, etc.;Neoplasm, Soft Tissue,Soft Tissue Neoplasm,Neoplasms, Soft Tissue
7;http://purl.bioontology.org/ontology/MESH/D050761;Adenomyoepithelioma;A potent inhibitor of CYCLIN-DEPENDENT KINASES in G1 PHASE and S PHASE. In humans, aberrant expression of p57 is associated with various NEOPLASMS as well as with BECKWITH-WIEDEMANN SYNDROME.;Cyclin Dependent Kinase Inhibitor 1C,Cyclin Kinase Inhibitor Protein 2,Cyclin-Dependent Kinase Inhibitor 1C,CDKN1C Protein,p57KIP2 Protein,p57 KIP2 Protein,KIP2 Protein, p57,Cyclin Dependent Kinase Inhibitor p57
8;http://purl.bioontology.org/ontology/MESH/D009381;Adenomyoma;Tumors, cancer or other neoplasms produced by exposure to ionizing or non-ionizing radiation.;Cancer, Radiation-Induced,Radiation-Induced Cancers,Neoplasm, Radiation-Induced,Radiation-Induced Neoplasms,Radiation-Induced Neoplasm,Neoplasms, Radiation Induced,Cancers, Radiation-Induced,Cancer, Radiation Induced,Radiation-Induced Cancer,Radiation Induced Cancer,Radiation Induced Neoplasms
9;http://purl.bioontology.org/ontology/MESH/D012513;Adenosarcoma;Experimentally induced neoplasms of CONNECTIVE TISSUE in animals to provide a model for studying human SARCOMA.;Sarcoma, Jensen,Experimental Sarcomas,EHS Tumor,Tumor, EHS,Engelbreth-Holm-Swarm Sarcoma,Sarcomas, Experimental,Sarcoma, Engelbreth-Holm-Swarm,Sarcoma, Engelbreth Holm Swarm,Jensen Sarcoma,Experimental Sarcoma
10;http://purl.bioontology.org/ontology/MESH/D051861;Administration, Intravaginal;A widely expressed transmembrane glycoprotein that functions as a METASTASIS suppressor protein. It is underexpressed in a variety of human NEOPLASMS.;Kangai 1 Protein,Antigens, CD82,CD82 Antigen,CD82 Antigens,KAI1 Protein,Antigen, CD82
